OID_,Join_Count,TARGET_FID,Unique_ID,Lat,Long,Date,Site_name,Date_1,Sex,L_HW_mm,L_FW_mm,Total_Length_mm,Metathoracic_Femur_Length_mm,F___12,Metathoracic_Femur_Length_mm_1,OBJECTID_1,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,GlobalID,SHAPE_Leng,GAZ_ID
14,1,14,F-106,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,24.18,25.17,41.100000000000001,6.59,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
15,1,15,F-108,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,24.57,25.92,41.049999999999997,6.66,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
16,1,16,F-109,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,24.78,26.76,40.909999999999997,6.84,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
17,1,17,F-110,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,22.41,24.12,40.450000000000003,6.29,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
18,1,18,F-111,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,23.21,24.81,40.009999999999998,6.53,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
19,1,19,F-119,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,23.67,24.32,41.250000000000000,8.07,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
20,1,20,F-120,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,23.93,25.06,40.729999999999997,8.29,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
21,1,21,F-121,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,22.61,24.83,39.560000000000002,7.69,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
22,1,22,F-28,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Cr. At S-191 NW of Milton,female,25.73,27.79,42.140000000000001,7.08,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
23,1,23,F-29,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Cr. At S-191 NW of Milton,female,25.68,27.53,42.670000000000002,7.25,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
